tower_item_id,item_type,item_id,title,location,latitude,longitude,price,normalized_features,star_rating,property_type,difficulty_level,tour_type,attraction_type,amenities_json,categories_json,cuisines_json,diets_json,suitable_for_json
128,tour,1,Tour Châu Đốc – Núi Sam – Rừng Tràm Trà Sư 1 Ngày,An Giang,10.68785760,105.09667200,120000.00,"[""culture"", ""adventure"", ""beach"", ""city"", ""religious"", ""historical"", ""mountain"", ""food"", ""nature"", ""wildlife"", ""photography"", ""pickup"", ""professional_guide"", ""airport_transfer"", ""photographer"", ""wifi_on_board"", ""vegetarian_options"", ""bike_rental"", ""sun_protection"", ""helmet"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""culture"", ""adventure"", ""beach"", ""city"", ""religious"", ""historical"", ""mountain"", ""food"", ""nature"", ""wildlife"", ""photography""]",,,
129,tour,2,Tour Châu Đốc – Núi Cấm – Rừng Tràm Trà Sư 2 Ngày 1 Đêm,An Giang,10.70096000,105.12005000,135000.00,"[""culture"", ""nature"", ""mountain"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""culture"", ""nature"", ""mountain""]",,,
130,tour,3,Tour Long Xuyên – Cù Lao Giêng – Làng Nghề 1 Ngày,An Giang,10.38639000,105.43518000,68000.00,"[""culture"", ""city"", ""pickup"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""city""]",,,
131,tour,4,Tour Vũng Tàu – Hồ Tràm – Suối Nước Nóng 2 Ngày 1 Đêm,Bà Rịa - Vũng Tàu,10.41138000,107.13623000,210000.00,"[""beach"", ""relax"", ""pickup"", ""spa"", ""hotel"", ""meals"", ""transport""]",,,easy,group,,,"[""beach"", ""relax""]",,,
132,tour,5,Tour Côn Đảo Tâm Linh 3 Ngày 2 Đêm,Bà Rịa - Vũng Tàu,8.68917000,106.60053000,245000.00,"[""religious"", ""historical"", ""guide"", ""hotel"", ""meals"", ""guide""]",,,moderate,group,,,"[""religious"", ""historical""]",,,
133,tour,6,Tour Tây Yên Tử – Thiền Viện Trúc Lâm 2 Ngày 1 Đêm,Bắc Giang,21.32806000,106.85841000,155000.00,"[""religious"", ""mountain"", ""pickup"", ""hotel"", ""meals"", ""transport""]",,,moderate,group,,,"[""religious"", ""mountain""]",,,
134,tour,7,Tour Lục Ngạn – Hồ Cấm Sơn – Vườn Vải 1 Ngày,Bắc Giang,21.41258000,106.63092000,100000.00,"[""nature"", ""food"", ""pickup"", ""transport"", ""guide""]",,,easy,group,,,"[""nature"", ""food""]",,,
135,tour,8,Tour Hồ Ba Bể – Động Puông – Thác Đầu Đẳng 2 Ngày,Bắc Kạn,22.40750000,105.61930000,132781.00,"[""nature"", ""adventure"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide"", ""entrance_fees""]",,,moderate,group,,,"[""nature"", ""adventure""]",,,
136,tour,9,Tour Bắc Kạn – Trải Nghiệm Văn Hóa Bản Địa 3 Ngày,Bắc Kạn,22.39000000,105.62000000,191251.00,"[""culture"", ""nature"", ""pickup"", ""guide"", ""hotel"", ""meals"", ""guide""]",,,easy,group,,,"[""culture"", ""nature""]",,,
137,tour,10,Tour Bạc Liêu – Nhà Công Tử – Cánh Đồng Điện Gió 1 Ngày,Bạc Liêu,9.29400000,105.72780000,137910.00,"[""culture"", ""city"", ""pickup"", ""guide"", ""transport"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""culture"", ""city""]",,,
