interaction_id,user_id,item_id,item_type,action_type,action_weight,unique_item_id
1,1260,1,tour,view,2,tour_1
2,1618,2,tour,view,2,tour_2
3,1478,3,tour,view,2,tour_3
4,1540,4,tour,view,2,tour_4
5,892,5,tour,view,2,tour_5
6,1076,6,tour,view,2,tour_6
7,169,7,tour,view,2,tour_7
8,1188,8,tour,view,2,tour_8
9,80,9,tour,view,2,tour_9
10,96,10,tour,view,2,tour_10
11,1622,11,tour,view,2,tour_11
12,34,12,tour,view,2,tour_12
13,481,13,tour,view,2,tour_13
14,1703,14,tour,view,2,tour_14
15,1250,15,tour,view,2,tour_15
16,1739,16,tour,view,2,tour_16
17,589,17,tour,view,2,tour_17
18,15,18,tour,view,2,tour_18
19,1830,19,tour,view,2,tour_19
20,1200,20,tour,view,2,tour_20
21,1809,21,tour,view,2,tour_21
22,1828,22,tour,view,2,tour_22
23,1203,23,tour,view,2,tour_23
24,1342,24,tour,view,2,tour_24
25,1055,25,tour,view,2,tour_25
26,98,26,tour,view,2,tour_26
27,51,27,tour,view,2,tour_27
28,1541,28,tour,view,2,tour_28
29,211,29,tour,view,2,tour_29
30,801,30,tour,view,2,tour_30
31,608,31,tour,view,2,tour_31
32,1655,32,tour,view,2,tour_32
33,1519,33,tour,view,2,tour_33
34,566,34,tour,view,2,tour_34
35,1824,35,tour,view,2,tour_35
36,1571,36,tour,view,2,tour_36
37,1852,37,tour,view,2,tour_37
38,853,38,tour,view,2,tour_38
39,1762,39,tour,view,2,tour_39
40,978,40,tour,view,2,tour_40
41,342,41,tour,view,2,tour_41
42,1733,42,tour,view,2,tour_42
43,1509,43,tour,view,2,tour_43
44,1554,44,tour,view,2,tour_44
45,1195,45,tour,view,2,tour_45
46,892,46,tour,view,2,tour_46
47,1522,47,tour,view,2,tour_47
48,533,48,tour,view,2,tour_48
49,516,49,tour,view,2,tour_49
50,1748,50,tour,view,2,tour_50
51,1454,51,tour,view,2,tour_51
52,446,52,tour,view,2,tour_52
53,759,53,tour,view,2,tour_53
54,1664,54,tour,view,2,tour_54
55,330,55,tour,view,2,tour_55
56,516,56,tour,view,2,tour_56
57,583,57,tour,view,2,tour_57
58,19,58,tour,view,2,tour_58
59,1757,59,tour,view,2,tour_59
60,1318,60,tour,view,2,tour_60
61,628,61,tour,view,2,tour_61
62,1712,62,tour,view,2,tour_62
63,984,63,tour,view,2,tour_63
64,302,64,tour,view,2,tour_64
65,300,65,tour,view,2,tour_65
66,1020,66,tour,view,2,tour_66
67,1591,67,tour,view,2,tour_67
68,1444,68,tour,view,2,tour_68
69,851,69,tour,view,2,tour_69
70,424,70,tour,view,2,tour_70
71,770,71,tour,view,2,tour_71
72,1895,72,tour,view,2,tour_72
73,17,73,tour,view,2,tour_73
74,1537,74,tour,view,2,tour_74
75,1926,75,tour,view,2,tour_75
76,1456,76,tour,view,2,tour_76
77,1063,77,tour,view,2,tour_77
78,1757,78,tour,view,2,tour_78
79,601,79,tour,view,2,tour_79
80,126,80,tour,view,2,tour_80
81,1859,81,tour,view,2,tour_81
82,1846,82,tour,view,2,tour_82
83,1131,83,tour,view,2,tour_83
84,1411,84,tour,view,2,tour_84
85,795,85,tour,view,2,tour_85
86,1380,86,tour,view,2,tour_86
87,234,87,tour,view,2,tour_87
88,393,88,tour,view,2,tour_88
89,477,89,tour,view,2,tour_89
90,540,90,tour,view,2,tour_90
91,721,91,tour,view,2,tour_91
92,1473,92,tour,view,2,tour_92
93,365,93,tour,view,2,tour_93
94,373,94,tour,view,2,tour_94
95,869,95,tour,view,2,tour_95
96,1637,96,tour,view,2,tour_96
97,372,97,tour,view,2,tour_97
98,944,98,tour,view,2,tour_98
99,460,99,tour,view,2,tour_99
100,1253,100,tour,view,2,tour_100
101,1399,101,tour,view,2,tour_101
102,1698,102,tour,view,2,tour_102
103,1824,103,tour,view,2,tour_103
104,1199,104,tour,view,2,tour_104
105,455,105,tour,view,2,tour_105
106,1976,106,tour,view,2,tour_106
107,1214,107,tour,view,2,tour_107
108,267,108,tour,view,2,tour_108
109,425,109,tour,view,2,tour_109
110,878,110,tour,view,2,tour_110
111,555,111,tour,view,2,tour_111
112,787,112,tour,view,2,tour_112
113,291,113,tour,view,2,tour_113
114,997,114,tour,view,2,tour_114
115,119,115,tour,view,2,tour_115
116,817,116,tour,view,2,tour_116
117,127,117,tour,view,2,tour_117
118,1461,118,tour,view,2,tour_118
119,760,119,tour,view,2,tour_119
120,1134,120,tour,view,2,tour_120
121,1315,121,tour,view,2,tour_121
122,845,122,tour,view,2,tour_122
123,573,123,tour,view,2,tour_123
124,1077,124,tour,view,2,tour_124
125,1265,125,tour,view,2,tour_125
126,166,126,tour,view,2,tour_126
127,268,127,tour,view,2,tour_127
128,591,1,hotel,view,2,hotel_1
129,238,5,hotel,view,2,hotel_5
130,1217,6,hotel,view,2,hotel_6
131,526,7,hotel,view,2,hotel_7
132,463,8,hotel,view,2,hotel_8
133,1831,9,hotel,view,2,hotel_9
134,1701,10,hotel,view,2,hotel_10
135,574,11,hotel,view,2,hotel_11
136,687,12,hotel,view,2,hotel_12
137,538,13,hotel,view,2,hotel_13
138,572,14,hotel,view,2,hotel_14
139,490,15,hotel,view,2,hotel_15
