interaction_id,user_id,item_id,item_type,action_type,action_weight
1,3,1,tour,click,3
2,3,1,tour,view,2
3,3,13,tour,click,3
4,3,13,tour,view,2
5,3,19,tour,view,2
6,3,45,tour,view,2
7,3,44,tour,view,2
8,3,10,tour,click,3
9,3,10,tour,view,2
10,3,1,hotel,view,2
11,3,1,hotel,view,2
12,3,5,hotel,view,2
13,3,0,tour,search,1
14,3,97,attraction,click,3
15,3,97,attraction,view,2
16,3,97,attraction,click,3
17,3,97,attraction,view,2
18,3,42,tour,click,3
19,3,42,tour,view,2
20,3,0,tour,search,1
21,3,96,attraction,click,3
22,3,96,attraction,view,2
23,3,0,tour,search,1
24,3,0,tour,search,1
25,3,42,tour,click,3
26,3,42,tour,view,2
27,3,43,tour,click,3
28,3,43,tour,view,2
29,3,51,hotel,click,3
30,3,51,hotel,view,2
31,3,0,tour,search,1
32,3,78,attraction,click,3
33,3,78,attraction,view,2
34,4,0,tour,search,1
35,4,78,attraction,click,3
36,4,78,attraction,view,2
37,4,30,tour,click,3
38,4,30,tour,view,2
39,4,33,hotel,click,3
40,4,33,hotel,view,2
41,4,33,hotel,book,5
42,4,30,tour,click,3
43,4,30,tour,view,2
44,4,0,tour,search,1
45,4,67,tour,click,3
46,4,67,tour,view,2
47,4,75,hotel,click,3
48,4,75,hotel,view,2
49,4,73,restaurant,click,3
50,4,73,restaurant,view,2
51,4,0,tour,search,1
52,4,1,restaurant,click,3
53,4,1,restaurant,view,2
54,4,3,attraction,click,3
55,4,3,attraction,view,2
56,4,3,attraction,book,5
57,4,3,restaurant,click,3
58,4,3,restaurant,view,2
59,4,42,tour,click,3
60,4,42,tour,view,2
61,4,43,tour,click,3
62,4,43,tour,view,2
63,4,51,hotel,click,3
64,4,51,hotel,view,2
65,4,97,attraction,click,3
66,4,97,attraction,view,2
67,4,100,hotel,click,3
68,4,100,hotel,view,2
69,4,73,restaurant,click,3
70,4,73,restaurant,view,2
71,4,1,restaurant,click,3
72,4,1,restaurant,view,2
73,5,29,hotel,click,3
74,5,29,hotel,view,2
75,5,29,hotel,favorite,4
76,5,29,hotel,book,5
77,5,0,tour,search,1
78,5,0,attraction,search,1
79,5,4,tour,click,3
80,5,4,tour,view,2
81,5,4,restaurant,click,3
82,5,4,restaurant,view,2
83,5,4,restaurant,book,5
84,5,7,hotel,click,3
85,5,7,hotel,view,2
86,5,7,hotel,book,5
87,5,9,attraction,view,2
88,5,9,attraction,favorite,4
89,6,92,tour,click,3
90,6,92,tour,view,2
91,6,92,tour,favorite,4
92,6,0,tour,search,1
93,6,107,hotel,click,3
94,6,107,hotel,view,2
95,6,146,attraction,click,3
96,6,146,attraction,view,2
97,6,92,tour,click,3
98,6,92,tour,view,2
99,6,92,tour,book,5
100,6,111,hotel,click,3
101,6,111,hotel,view,2
102,6,111,hotel,favorite,4
103,6,10,restaurant,click,3
104,6,10,restaurant,view,2
105,6,0,tour,search,1
106,6,33,hotel,click,3
107,6,33,hotel,view,2
108,6,33,hotel,favorite,4
109,6,79,attraction,click,3
110,6,79,attraction,view,2
111,6,31,tour,click,3
112,6,31,tour,view,2
113,6,79,attraction,click,3
114,6,79,attraction,view,2
115,6,0,tour,search,1
116,6,79,attraction,click,3
117,6,79,attraction,view,2
118,6,79,attraction,book,5
119,3,0,tour,search,1
120,3,107,restaurant,click,3
121,3,107,restaurant,view,2
122,3,107,restaurant,book,5
123,3,107,restaurant,click,3
124,3,107,restaurant,view,2
125,3,107,restaurant,favorite,4
